Years	EU	Germany	Turkey	UK	US
2008	86.1	92.5	67.8	87.3	96.8
2009	86.9	92.9	66	84.2	95.2
2010	83.8	90.1	65.4	85.7	95
2011	82.7	94.2	65.6	85.4	95.6
2012	82.6	93.8	67	87.8	96.1
2013	81.6	94.1	66.2	87.8	96.6
2014	81	93.1	66.6	86.2	96.8
2015	80.6	93.3	64.3	89.6	97.5
2016	82	93.1	64.1	87.9	97.7
