Years,EU,Germany,Turkey,UK,US
2008,71.5,74.2,54.8,77.8,93
2009,71.8,74.1,52.3,75.6,89.7
2010,70.4,74.9,54,75,90
2011,69.9,76.3,55.8,75.6,91.2
2012,69.9,76.8,55.9,75.2,92
2013,69.7,77.3,56.4,75.6,92.8
2014,69.5,78.1,56.8,76.9,94.3
2015,70.8,78.4,57.2,77.3,94.6
2016,71.7,79.3,57.1,77.7,95.1
